Flair Name,Team ID,Active
GosuGamers,gosugamers,TRUE
Link,link,TRUE
Liquipedia,liquipedia,TRUE
MLG,mlg,TRUE
over.gg,overgg,TRUE
Overwatch League,overwatchleague,TRUE
Twitch,twitch,TRUE
Winston's Lab,winstonslab,TRUE
YouTube,youtube,TRUE
