Flair Name,Team ID,Active
Blizzard,blizzard,TRUE
Verified,verified,TRUE
OWL S1 Predictor: Weekly Winner,owlp-s1-weekly,TRUE
OWL S1 Predictor: Stage Winner,owlp-s1-gold,TRUE
OWL S1 Predictor: Stage Top 3,owlp-s1-silver,TRUE
OWL S1 Predictor: Stage Top 10,owlp-s1-bronze,TRUE
RIP INTERNETHULK,internethulk,TRUE
